price_list,address,home_stat
"$4,988,000","1238 Seymour St #1401, Vancouver, BC V6B 6J3","7 Beds6.5 Baths6,555 Sq. Ft."
"$1,399,000","1316 Victoria Dr, Vancouver, BC V5L 4G8","3 Beds3.5 Baths1,154 Sq. Ft."
"$4,398,000","846 E 27th Ave, Vancouver, BC V5V 2L2","5 Beds5.5 Baths4,349 Sq. Ft."
"$559,900","5665 Boundary Rd #910, Vancouver, BC V5R 0E4",1 Bed1 Bath515 Sq. Ft.
"$2,799,000","1816 W 62nd Ave, Vancouver, BC V6P 2G4","4 Beds1.5 Baths2,241 Sq. Ft."
"$819,999","1924 Comox St #108, Vancouver, BC V6G 1R4",1 Bed1 Bath751 Sq. Ft.
"$978,000","1200 Alberni St #1505, Vancouver, BC V6E 1A6",2 Beds2 Baths897 Sq. Ft.
"$1,282,000","1351 E 12th Ave, Vancouver, BC V5N 2A1","3 Beds2.5 Baths1,555 Sq. Ft."
"$998,000","588 W 45th Ave #307, Vancouver, BC V5Z 4S3",2 Beds2 Baths944 Sq. Ft.
"$465,000","2408 Grant St #206, Vancouver, BC V5K 3G4",—Beds1 Bath420 Sq. Ft.
"$2,600,000","4904 Rupert St, Vancouver, BC V5R 2J8","6 Beds2 Baths2,402 Sq. Ft."
"$718,800","1295 Richards St #2105, Vancouver, BC V6B 1B7",1 Bed1 Bath623 Sq. Ft.
"$599,000","718 Main St #708, Vancouver, BC V6A 0B1",1 Bed1 Bath560 Sq. Ft.
"$510,000","2234 W 1st Ave #408, Vancouver, BC V6K 1G1",1 Bed1 Bath524 Sq. Ft.
"$2,999,800","89 W 2nd Ave Ph 1603, Vancouver, BC V5Y 0G9","3 Beds2.5 Baths1,562 Sq. Ft."
"$1,688,000","6453 Sophia St, Vancouver, BC V5W 2W9","3 Beds3.5 Baths1,487 Sq. Ft."
"$399,000","2146 W 43 Ave #104, Vancouver, BC V6M 2E1",1 Bed1 Bath790 Sq. Ft.
"$989,000","3580 W 41st Ave #202, Vancouver, BC V6N 3E6","2 Beds2 Baths1,346 Sq. Ft."
"$979,900","997 W 22nd Ave #312, Vancouver, BC V5Z 2A2",2 Beds2 Baths932 Sq. Ft.
"$729,900","38 W 1st Ave #618, Vancouver, BC V5Y 0K3",1 Bed1 Bath547 Sq. Ft.
"$939,000","3140 W 4th Ave #2, Vancouver, BC V6K 1R7",2 Beds1 Bath893 Sq. Ft.
"$738,000","110 Switchmen St #709, Vancouver, BC V6A 0C6",1 Bed1 Bath574 Sq. Ft.
"$849,900","8580 River District Cross #605, Vancouver, BC V5S 0B9","2 Beds2 Baths1,010 Sq. Ft."
"$2,550,000","6093 Iona Dr #501, Vancouver, BC V6T 0B2","3 Beds2.5 Baths1,814 Sq. Ft."
"$1,628,000","6451 Sophia St, Vancouver, BC V5W 2W9","3 Beds3.5 Baths1,492 Sq. Ft."
"$738,000","1088 Richards St #1002, Vancouver, BC V6B 0J8",—Beds1 Bath555 Sq. Ft.
"$1,499,900","1328 E 35th Ave, Vancouver, BC V5W 1C1","4 Beds2 Baths1,544 Sq. Ft."
"$1,480,000","1530 W 8th Ave #604, Vancouver, BC V6J 5M6","2 Beds2 Baths1,196 Sq. Ft."
"$779,000","933 E Hastings St #712, Vancouver, BC V6A 0G6",2 Beds2 Baths759 Sq. Ft.
"$1,899,999","3639 W 16th Ave #405, Vancouver, BC V6R 3C3","2 Beds2.5 Baths1,020 Sq. Ft."
"$1,375,000","181 W 1st Ave #206, Vancouver, BC V5Y 0E3","2 Beds2 Baths1,128 Sq. Ft."
"$768,900","655 W 41st Ave #401, Vancouver, BC V5Z 2N1",1 Bed1 Bath624 Sq. Ft.
"$2,098,000","1729 East 6TH Ave #1727, Vancouver, BC V5N 1P4","8 Beds6 Baths3,006 Sq. Ft."
"$1,068,000","3333 Main St #519, Vancouver, BC V5V 3M8",2 Beds2 Baths842 Sq. Ft.
"$1,715,000","6229 Prince Albert St, Vancouver, BC V5W 3E5","3 Beds3.5 Baths1,534 Sq. Ft."
"$648,900","2450 Cornwall Ave #301, Vancouver, BC V6K 1B8",1 Bed1 Bath582 Sq. Ft.
"$2,399,999","568 E 20 Ave, Vancouver, BC V5V 1M8","5 Beds3.5 Baths2,219 Sq. Ft."
"$399,900","8989 Hudson St #207, Vancouver, BC V6P 6Y1",—Beds1 Bath428 Sq. Ft.
"$1,149,900","33 Smithe St #1705, Vancouver, BC V6B 0B5",2 Beds2 Baths928 Sq. Ft.
"$849,000","480 Robson St #1002, Vancouver, BC V6B 1S1",1 Bed1 Bath729 Sq. Ft.
"$1,990,000","8 Smithe Mews #2205, Vancouver, BC V6B 0A5","2 Beds2 Baths1,217 Sq. Ft."
"$2,480,000","4908 Cypress St, Vancouver, BC V6M 3P8","3 Beds3.5 Baths3,335 Sq. Ft."
"$4,689,000","3149 W 24th Ave, Vancouver, BC V6L 1R7","5 Beds3.5 Baths2,986 Sq. Ft."
"$21,998,000","1738 Angus Dr, Vancouver, BC V6J 4H5","4 Beds5.5 Baths7,984 Sq. Ft."
"$2,098,000","1727-1729 E 6th Ave, Vancouver, BC V5N 1P4","8 Beds6 Baths3,006 Sq. Ft."
"$3,498,000","2169 W 35th Ave, Vancouver, BC V6M 1J2","5 Beds2.5 Baths3,484 Sq. Ft."
"$3,900,000","1171 Jervis St #1901, Vancouver, BC V6E 0C9","3 Beds2.5 Baths2,342 Sq. Ft."
"$1,399,000","833 Seymour St #3904, Vancouver, BC V6B 0G4","2 Beds2 Baths1,005 Sq. Ft."
"$699,000","1040 Pacific St #202, Vancouver, BC V6E 4C1",2 Beds1 Bath705 Sq. Ft.
"$1,599,000","1280 Richards St #602, Vancouver, BC V6B 1S2","2 Beds2.5 Baths1,344 Sq. Ft."
"$6,508,000","2149 SW Marine Dr, Vancouver, BC V6P 6B8","5 Beds7 Baths6,280 Sq. Ft."
"$719,000","1331 W Georgia St #509, Vancouver, BC V6E 4P1",1 Bed1 Bath661 Sq. Ft.
"$1,298,000","2210 W 40th Ave #303, Vancouver, BC V6M 1W6","2 Beds2 Baths1,779 Sq. Ft."
"$215,000","838 Hamilton St #212, Vancouver, BC V6B 6A2",1 Bed1 Bath317 Sq. Ft.
"$1,490,000","601 Jervis St, Vancouver, BC V6E 3M5","2 Beds2.5 Baths1,378 Sq. Ft."
"$579,000","5598 Ormidale St #716, Vancouver, BC V5R 0E5",1 Bed1 Bath528 Sq. Ft.
"$745,000","3451 Sawmill Cres #701, Vancouver, BC V5S 0H3",2 Beds2 Baths762 Sq. Ft.
"$999,999","5097 Moss St, Vancouver, BC V5R 3T6","3 Beds3.5 Baths1,246 Sq. Ft."
"$1,999,000","1616 Columbia St #805, Vancouver, BC V5Y 0B7","2 Beds2 Baths1,153 Sq. Ft."
"$648,000","1345 W 15th Ave #107, Vancouver, BC V6H 3R3",1 Bed1 Bath665 Sq. Ft.
"$450,000","168 Powell St #712, Vancouver, BC V6A 0B2",1 Bed1 Bath558 Sq. Ft.
"$1,628,000","6474 Windsor St, Vancouver, BC V5W 3J5","3 Beds2 Baths1,776 Sq. Ft."
"$549,900","1775 W 10th Ave #103, Vancouver, BC V6J 2A4",1 Bed1 Bath610 Sq. Ft.
"$469,000","501 Pacific St #608, Vancouver, BC V6Z 2X6",1 Bed1 Bath413 Sq. Ft.
"$849,900","828 Gilford St #205, Vancouver, BC V6G 2N6","2 Beds1.5 Baths1,012 Sq. Ft."
"$1,299,000","3455 William St, Vancouver, BC V5K 2Z5","3 Beds3.5 Baths1,323 Sq. Ft."
"$1,550,000","289 Drake St #1702, Vancouver, BC V6B 5Z5","2 Beds2 Baths1,223 Sq. Ft."
"$2,490,000","1033 Marinaside Cres #3307, Vancouver, BC V6Z 3A3","2 Beds2 Baths1,343 Sq. Ft."
"$599,000","2883 E Kent Avenue North #2, Vancouver, BC V5S 3T9",2 Beds2 Baths947 Sq. Ft.
"$1,680,000","6150 Oak St, Vancouver, BC V6M 2W2","2 Beds1.5 Baths1,115 Sq. Ft."
"$1,700,000","2719 E 46th Ave, Vancouver, BC V5S 1A6",—Beds—Baths101 Sq. Ft.
"$599,900","2799 Yew St #810, Vancouver, BC V6K 4W2",1 Bed1 Bath717 Sq. Ft.
"$420,000","3489 Ascot Pl #501, Vancouver, BC V5R 6B6",1 Bed1 Bath498 Sq. Ft.
"$639,000","1195 W 8th Ave #204, Vancouver, BC V6H 1C5",1 Bed1 Bath650 Sq. Ft.
"$1,880,000","1011 E 56th Ave, Vancouver, BC V5X 1S1","4 Beds2 Baths1,709 Sq. Ft."
"$1,328,888","5295 Hoy St, Vancouver, BC V5R 4N9","3 Beds3 Baths1,030 Sq. Ft."
