 price_list ,Address,Type,City,Province,Postal Code,Number of Bedroom,Number of Bathroom,Square Ft
4988000,1238 Seymour St ,Apartment, Vancouver,BC,V6B 6J3,7,6.5,6555
1399000,1316 Victoria Dr,Single House, Vancouver,BC,V5L 4G8,3,3.5,1154
4398000,846 E 27th Ave,Single House, Vancouver,BC,V5V 2L2,5,5.5,4349
559900,5665 Boundary Rd ,Apartment, Vancouver,BC,V5R 0E4,1,1,515
2799000,1816 W 62nd Ave,Single House, Vancouver,BC,V6P 2G4,4,1.5,2241
819999,1924 Comox St ,Apartment, Vancouver,BC,V6G 1R4,1,1,751
978000,1200 Alberni St ,Apartment, Vancouver,BC,V6E 1A6,2,2,897
1282000,1351 E 12th Ave,Single House, Vancouver,BC,V5N 2A1,3,2.5,1555
998000,588 W 45th Ave ,Apartment, Vancouver,BC,V5Z 4S3,2,2,944
2600000,4904 Rupert St,Single House, Vancouver,BC,V5R 2J8,6,2,2402
718800,1295 Richards St ,Apartment, Vancouver,BC,V6B 1B7,1,1,623
599000,718 Main St ,Apartment, Vancouver,BC,V6A 0B1,1,1,560
510000,2234 W 1st Ave ,Apartment, Vancouver,BC,V6K 1G1,1,1,524
2999800,89 W 2nd Ave,Penthouse, Vancouver,BC,V5Y 0G9,3,2.5,1562
1688000,6453 Sophia St,Single House, Vancouver,BC,V5W 2W9,3,3.5,1487
399000,2146 W 43 Ave ,Apartment, Vancouver,BC,V6M 2E1,1,1,790
989000,3580 W 41st Ave ,Apartment, Vancouver,BC,V6N 3E6,2,2,1346
979900,997 W 22nd Ave ,Apartment, Vancouver,BC,V5Z 2A2,2,2,932
729900,38 W 1st Ave ,Apartment, Vancouver,BC,V5Y 0K3,1,1,547
939000,3140 W 4th Ave ,Apartment, Vancouver,BC,V6K 1R7,2,1,893
738000,110 Switchmen St ,Apartment, Vancouver,BC,V6A 0C6,1,1,574
849900,8580 River District Cross ,Apartment, Vancouver,BC,V5S 0B9,2,2,1010
