price_list,address,home_stat,date_sold
"$3,243,000","5741 Rhodes St, Vancouver, BC V5R 3P3","6 Beds6.5 Baths3,152 Sq. Ft.","SOLD MAY 31, 2022"
"$520,000","3660 Vanness Ave #206, Vancouver, BC V5R 6H8",1 Bed1 Bath583 Sq. Ft.,"SOLD MAR 10, 2022"
"$520,000","3660 Vanness Ave #206, Vancouver, BC V5R 6H8",1 Bed1 Bath583 Sq. Ft.,"SOLD MAR 10, 2022"
"$550,000","3480 Yardley Ave #302, Vancouver, BC V5R",2 Beds1 Bath759 Sq. Ft.,"SOLD AUG 31, 2022"
"$1,780,000","3248 Austrey Ave, Vancouver, BC V5R 4V7","6 Beds3 Baths2,023 Sq. Ft.","SOLD MAY 30, 2022"
"$2,100,000","2599 Brock St, Vancouver, BC V5R 2R3","5 Beds2.5 Baths2,189 Sq. Ft.","SOLD MAY 5, 2022"
"$569,000","4818 Eldorado Mews #313, Vancouver, BC V5R 0B3",1 Bed1 Bath538 Sq. Ft.,"SOLD OCT 28, 2022"
"$2,180,000","5636 Killarney St, Vancouver, BC V5R 3W2","3 Beds1.5 Baths2,492 Sq. Ft.","SOLD APR 29, 2022"
"$2,800,000","2606 E 34th Ave, Vancouver, BC V5R 2T2","7 Beds4.5 Baths3,794 Sq. Ft.","SOLD JUN 8, 2022"
"$1,560,000","5114 Fairmont St, Vancouver, BC V5R 3V3","5 Beds2 Baths2,168 Sq. Ft.","SOLD MAR 30, 2022"
"$1,555,000","5025 Earles St, Vancouver, BC V5R 3R8","4 Beds2 Baths1,957 Sq. Ft.","SOLD FEB 28, 2022"
"$924,000","110 Switchmen St #1107, Vancouver, BC V6A 0C6",2 Beds2.5 Baths853 Sq. Ft.,"SOLD NOV 14, 2022"
"$1,350,000","273 Columbia St, Vancouver, BC V6A 1K3","—Beds1.5 Baths1,505 Sq. Ft.","SOLD MAR 31, 2022"
"$849,000","55 E Cordova St #405, Vancouver, BC V6A 0A5",—Beds1 Bath914 Sq. Ft.,"SOLD MAR 31, 2022"
"$1,850,000","1277 Melville St #2601, Vancouver, BC V6E 0A4","2 Beds2 Baths1,431 Sq. Ft.","SOLD SEP 6, 2022"
"$1,000,000","1333 W Georgia St #1109, Vancouver, BC V6E 4V3",2 Beds2.5 Baths943 Sq. Ft.,"SOLD MAY 11, 2022"
"$1,090,000","1333 W Georgia St #1314, Vancouver, BC V6E 4V3",2 Beds2.5 Baths943 Sq. Ft.,"SOLD MAR 31, 2022"
"$625,000","1725 Pendrell St #501, Vancouver, BC V6G 2X7",1 Bed1 Bath668 Sq. Ft.,"SOLD NOV 4, 2022"
"$1,285,000","1406 Harwood St #601, Vancouver, BC V6G 1X5",2 Beds1 Bath929 Sq. Ft.,"SOLD JUL 29, 2022"
"$8,780,952","4503 W 1st Ave, Vancouver, BC V6R 1H7","4 Beds4 Baths4,408 Sq. Ft.","SOLD MAR 11, 2022"
"$664,500","1688 Robson St #304, Vancouver, BC V6G 1C7",1 Bed1 Bath539 Sq. Ft.,"SOLD JUN 1, 2022"
"$820,000","1200 Alberni St #502, Vancouver, BC V6E 1A6",2 Beds2.5 Baths888 Sq. Ft.,"SOLD NOV 4, 2022"
"$6,300,000","4538 Langara Ave, Vancouver, BC V6R 1C8","3 Beds5.5 Baths4,088 Sq. Ft.","SOLD APR 18, 2022"
"$2,694,000","4218 W 13th Ave, Vancouver, BC V6R 2T8","4 Beds3.5 Baths2,879 Sq. Ft.","SOLD NOV 12, 2022"
"$1,680,000","1860 Robson St #903, Vancouver, BC V6G 3C1","3 Beds2 Baths1,651 Sq. Ft.","SOLD APR 21, 2022"
"$540,000","1967 Barclay St #903, Vancouver, BC V6G 1L1",1 Bed1 Bath549 Sq. Ft.,"SOLD OCT 27, 2022"
"$1,160,000","2288 Pine St #704, Vancouver, BC V6J 5G4","2 Beds2 Baths1,128 Sq. Ft.","SOLD OCT 26, 2022"
"$8,000,000","4627 Bellevue Dr, Vancouver, BC V6R 1E7","3 Beds1.5 Baths3,490 Sq. Ft.","SOLD APR 28, 2022"
"$1,378,000","1867 W 3rd Ave #409, Vancouver, BC V6J 1K9","3 Beds2 Baths1,386 Sq. Ft.","SOLD NOV 10, 2022"
"$788,000","1333 W Georgia St #1001, Vancouver, BC V6E 4V3",1 Bed1 Bath760 Sq. Ft.,"SOLD MAY 2, 2022"
"$752,000","1333 W Georgia St #1507, Vancouver, BC V6E 4V3",1 Bed1 Bath668 Sq. Ft.,"SOLD MAR 30, 2022"
"$1,250,000","209 E 39th Ave, Vancouver, BC V5W 1K1","2 Beds1 Bath1,782 Sq. Ft.","SOLD MAR 25, 2022"
"$2,100,000","8 Smithe Mews #502, Vancouver, BC V6B 0A5","2 Beds2.5 Baths1,399 Sq. Ft.","SOLD JUL 14, 2022"
"$665,000","1331 W Georgia St #1503, Vancouver, BC V6E 4P1",1 Bed1 Bath556 Sq. Ft.,"SOLD MAY 10, 2022"
"$1,015,000","1088 Richards St #803, Vancouver, BC V6B 0J8",2 Beds2 Baths872 Sq. Ft.,"SOLD MAY 30, 2022"
"$762,000","1088 Richards St #1805, Vancouver, BC V6B 0J8",1 Bed1 Bath532 Sq. Ft.,"SOLD APR 28, 2022"
"$850,000","4625 Valley Dr #2407, Vancouver, BC V6J 5L7",1 Bed1 Bath804 Sq. Ft.,"SOLD MAR 30, 2022"
"$1,029,344","1155 Seymour St #2406, Vancouver, BC V6B 3N3",2 Beds2.5 Baths914 Sq. Ft.,"SOLD MAR 30, 2022"
"$1,335,000","1650 W 1st Ave #1, Vancouver, BC V6J 1G1",2 Beds2.5 Baths875 Sq. Ft.,"SOLD MAY 16, 2022"
"$1,100,000","33 Smithe St #605, Vancouver, BC V6B 0B5",2 Beds2 Baths918 Sq. Ft.,"SOLD MAR 24, 2022"
"$1,750,000","3378 Seaforth Dr, Vancouver, BC V5M 4C5","3 Beds1 Bath1,282 Sq. Ft.","SOLD JUN 1, 2022"
"$1,750,000","3378 Seaforth Dr, Vancouver, BC V5M 4C5","3 Beds1 Bath1,282 Sq. Ft.","SOLD JUN 1, 2022"
"$735,000","1420 W Georgia St #906, Vancouver, BC V6G 3K4",1 Bed1 Bath681 Sq. Ft.,"SOLD APR 28, 2022"
"$920,000","555 Jervis St #2405, Vancouver, BC V6E 4N1",1 Bed1 Bath667 Sq. Ft.,"SOLD JUN 15, 2022"
"$1,435,000","1389 E 39th Ave, Vancouver, BC V5P 2X9","2 Beds1.5 Baths1,490 Sq. Ft.","SOLD JUN 29, 2022"
"$975,000","5868 Fraser St #203, Vancouver, BC V5W 2Z5","2 Beds1.5 Baths1,076 Sq. Ft.","SOLD SEP 1, 2022"
"$4,900,000","1656 Nanton Ave, Vancouver, BC V6J 2X4","4 Beds4 Baths4,039 Sq. Ft.","SOLD JUN 1, 2022"
"$1,225,777","3468 Porter St, Vancouver, BC V5N 4E9","2 Beds2.5 Baths1,193 Sq. Ft.","SOLD JUN 16, 2022"
"$658,000","438 Seymour St #2909, Vancouver, BC V6B 6H4",1 Bed1 Bath560 Sq. Ft.,"SOLD MAY 30, 2022"
"$1,400,000","5138 Fraser St, Vancouver, BC V5W 2Y9",3 Beds1.5 Baths949 Sq. Ft.,"SOLD APR 29, 2022"
"$767,000","6363 Main St, Vancouver, BC V5W 2V2","6 Beds4 Baths1,918 Sq. Ft.","SOLD NOV 14, 2022"
"$1,715,000","3059 E 1st Ave, Vancouver, BC V5M 1B3","4 Beds2 Baths1,550 Sq. Ft.","SOLD MAR 14, 2022"
"$625,000","1804-1155 Homer St #602, Vancouver, BC V6B 5T5",1 Bed1 Bath647 Sq. Ft.,"SOLD AUG 2, 2022"
"$1,280,000","1804-1155 Homer St #1101, Vancouver, BC V6B 5T5","2 Beds2.5 Baths1,081 Sq. Ft.","SOLD MAR 4, 2022"
"$1,190,000","1804-1155 Homer St #2101, Vancouver, BC V6B 5T5","2 Beds2.5 Baths1,081 Sq. Ft.","SOLD AUG 10, 2022"
"$775,000","1804-1155 Homer St #2002, Vancouver, BC V6B 5T5",1 Bed1 Bath649 Sq. Ft.,"SOLD MAR 30, 2022"
"$460,000","4372 Fraser St #301, Vancouver, BC V5V 4G3",1 Bed1.5 Baths478 Sq. Ft.,"SOLD JUN 20, 2022"
"$675,000","928 Homer St #608, Vancouver, BC V6B 1T7",1 Bed1 Bath509 Sq. Ft.,"SOLD SEP 2, 2022"
"$1,220,000","1490 Pennyfarthing Dr Unit G02, Vancouver, BC V6J 4X8","2 Beds2.5 Baths1,497 Sq. Ft.","SOLD NOV 30, 2022"
"$1,840,000","8380 Beatrice St, Vancouver, BC V5P 3R9","3 Beds2 Baths1,760 Sq. Ft.","SOLD APR 25, 2022"
"$1,800,000","2091 E 20th Ave, Vancouver, BC V5N 2L1","4 Beds2 Baths2,088 Sq. Ft.","SOLD APR 12, 2022"
"$930,000","1635 W 3rd Ave #507, Vancouver, BC V6J 0B6",2 Beds2.5 Baths800 Sq. Ft.,"SOLD OCT 27, 2022"
"$2,250,000","1421 E 62nd Ave, Vancouver, BC V5P 2K6","4 Beds2 Baths1,843 Sq. Ft.","SOLD MAY 20, 2022"
"$597,000","550 Taylor St #1805, Vancouver, BC V6B 1R1",1 Bed1 Bath572 Sq. Ft.,"SOLD OCT 28, 2022"
"$2,980,000","1348 E 24th Ave, Vancouver, BC V5V 2B7","6 Beds4.5 Baths2,878 Sq. Ft.","SOLD APR 5, 2022"
"$1,820,000","518 E 18th Ave, Vancouver, BC V5V 1G3","5 Beds3.5 Baths2,112 Sq. Ft.","SOLD APR 19, 2022"
"$1,630,000","1762 Davie St #304, Vancouver, BC V6G 1W2","2 Beds2 Baths1,580 Sq. Ft.","SOLD MAR 11, 2022"
"$1,975,000","2211 E 1st Ave, Vancouver, BC V5N 1C1","6 Beds5 Baths2,345 Sq. Ft.","SOLD JUL 29, 2022"
"$820,000","428 W 8th Ave #501, Vancouver, BC V5Y 1N9",1 Bed1.5 Baths784 Sq. Ft.,"SOLD MAY 17, 2022"
"$2,220,000","2271 E 43rd Ave, Vancouver, BC V5P 1M8","6 Beds4 Baths2,505 Sq. Ft.","SOLD FEB 15, 2022"
"$3,694,000","1688 W 61st Ave, Vancouver, BC V6P 2C3","4 Beds5 Baths3,838 Sq. Ft.","SOLD JUN 2, 2022"
"$4,250,000","58 W 17th Ave, Vancouver, BC V5Y 1Z4","6 Beds4.5 Baths3,282 Sq. Ft.","SOLD MAR 24, 2022"
"$4,410,000","105 W 43rd Ave, Vancouver, BC V5Y 2T6","8 Beds6.5 Baths4,098 Sq. Ft.","SOLD MAR 8, 2022"
"$1,450,000","179 E 17th Ave, Vancouver, BC V5V 1A5","2 Beds2.5 Baths1,209 Sq. Ft.","SOLD FEB 23, 2022"
"$2,400,000","1275 Maple St, Vancouver, BC V6J 3R8","4 Beds2 Baths1,131 Sq. Ft.","SOLD MAR 31, 2022"
"$2,850,000","2045 E Broadway, Vancouver, BC V5N 1W6","5 Beds2.5 Baths2,588 Sq. Ft.","SOLD DEC 1, 2022"
"$7,800,000","2007 W 29th Ave, Vancouver, BC V6J 2Z9","4 Beds8 Baths5,906 Sq. Ft.","SOLD NOV 29, 2022"
"$2,320,000","996 E 20th Ave, Vancouver, BC V5V 1N6","2 Beds1 Bath1,773 Sq. Ft.","SOLD JUN 28, 2022"
"$2,100,000","499 Drake St #504, Vancouver, BC V6B 1B1","2 Beds2.5 Baths1,426 Sq. Ft.","SOLD OCT 4, 2022"
"$775,000","1275 Hamilton St #208, Vancouver, BC V6B 6K3",1 Bed1 Bath704 Sq. Ft.,"SOLD MAY 16, 2022"
"$545,000","63 Keefer Pl #2007, Vancouver, BC V6B 6N6",1 Bed1.5 Baths589 Sq. Ft.,"SOLD MAY 20, 2022"
"$1,669,000","1243 Homer St, Vancouver, BC V6B 2Y9","1 Bed2 Baths1,323 Sq. Ft.","SOLD APR 27, 2022"
"$4,200,000","181 Athletes Way #201, Vancouver, BC V5Y 0E5","3 Beds2.5 Baths2,395 Sq. Ft.","SOLD NOV 29, 2022"
"$678,000","928 Homer St #102, Vancouver, BC V6B 1T7",1 Bed1 Bath731 Sq. Ft.,"SOLD FEB 18, 2022"
"$600,000","5555 Victoria Dr #220, Vancouver, BC V5P 4Y3",2 Beds2 Baths824 Sq. Ft.,"SOLD JUL 11, 2022"
"$480,000","550 Taylor St #508, Vancouver, BC V6B 1R1",1 Bed1 Bath520 Sq. Ft.,"SOLD FEB 24, 2022"
"$705,000","1887 Crowe St #809, Vancouver, BC V5Y 0B4",1 Bed1 Bath607 Sq. Ft.,"SOLD JUN 30, 2022"
"$1,372,000","4515 Nanaimo St, Vancouver, BC V5N 5J2","—Beds3.5 Baths1,414 Sq. Ft.","SOLD APR 20, 2022"
"$500,000","8770 Laurel St #302, Vancouver, BC V6P 3V6",1 Bed2.5 Baths886 Sq. Ft.,"SOLD APR 8, 2022"
"$1,430,000","6856 Victoria Dr, Vancouver, BC V5P 3Y5","5 Beds2 Baths1,238 Sq. Ft.","SOLD JUN 16, 2022"
"$2,300,000","1855 Vine St #3, Vancouver, BC V6K 3J8","2 Beds1.5 Baths1,338 Sq. Ft.","SOLD APR 28, 2022"
"$780,000","2768 Cranberry Dr #218, Vancouver, BC V6K 4V1",1 Bed1 Bath655 Sq. Ft.,"SOLD JUL 7, 2022"
"$845,000","2263 Redbud Lane #222, Vancouver, BC V6K 4V7",1 Bed1 Bath695 Sq. Ft.,"SOLD AUG 8, 2022"
"$782,000","1088 Richards St #1808, Vancouver, BC V6B 0J8",1 Bed1 Bath563 Sq. Ft.,"SOLD APR 20, 2022"
"$555,000","2238 Kingsway #221, Vancouver, BC V5N 2T7",2 Beds2 Baths784 Sq. Ft.,"SOLD FEB 15, 2022"
